layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
head,69,1.0,1.0,0.009102416224777699,0.6697008054082593
head,66,1.0,1.0,0.008119085803627968,0.6693730286012093
head,44,1.0,1.0,0.007783098611980677,0.6692610328706602
head,53,1.0,1.0,0.007673053536564112,0.6692243511788547
head,55,1.0,1.0,0.006648421753197908,0.668882807251066
head,70,1.0,1.0,0.005942420102655888,0.6686474733675519
head,59,1.0,1.0,0.005786578170955181,0.668595526056985
head,56,1.0,1.0,0.005142033100128174,0.6683806777000427
head,43,1.0,1.0,0.0050260331481695175,0.6683420110493898
head,38,1.0,1.0,0.005015875678509474,0.6683386252261698
head,41,1.0,1.0,0.004812121856957674,0.6682707072856525
head,73,1.0,1.0,0.004621732514351606,0.6682072441714505
head,67,1.0,1.0,0.00441668089479208,0.6681388936315974
head,37,1.0,1.0,0.004383564461022615,0.6681278548203409
head,5,1.0,1.0,0.004341847728937864,0.6681139492429793
head,25,1.0,1.0,0.004338524769991636,0.6681128415899972
head,65,1.0,1.0,0.004050774034112692,0.6680169246780375
head,42,1.0,1.0,0.003757992060855031,0.6679193306869516
head,1,1.0,1.0,0.0035836095921695232,0.6678612031973898
head,46,1.0,1.0,0.0033628714736551046,0.6677876238245517
head,26,1.0,1.0,0.0033375064376741648,0.667779168812558
head,31,1.0,1.0,0.0032942292746156454,0.6677647430915385
head,54,1.0,1.0,0.0030368082225322723,0.6676789360741774
head,10,1.0,1.0,0.002995278686285019,0.6676650928954283
head,51,1.0,1.0,0.0028013228438794613,0.6676004409479598
head,23,1.0,1.0,0.002715505426749587,0.6675718351422498
head,24,1.0,1.0,0.0024427203461527824,0.667480906782051
head,39,1.0,1.0,0.0024017610121518373,0.6674672536707172
head,71,1.0,1.0,0.0022723963484168053,0.6674241321161389
head,52,1.0,1.0,0.0021087899804115295,0.6673695966601372
head,11,1.0,1.0,0.0020583951845765114,0.6673527983948588
head,50,1.0,1.0,0.002000475535169244,0.6673334918450564
head,60,1.0,1.0,0.0019260054687038064,0.6673086684895679
head,61,1.0,1.0,0.0019242807757109404,0.6673080935919037
head,36,1.0,1.0,0.0016965720569714904,0.6672321906856572
head,45,1.0,1.0,0.0016937273321673274,0.6672312424440557
head,6,1.0,1.0,0.0016596450004726648,0.6672198816668242
head,28,1.0,1.0,0.001564518897794187,0.6671881729659314
head,68,1.0,1.0,0.0015218269545584917,0.6671739423181862
head,7,1.0,1.0,0.0014751944690942764,0.6671583981563648
head,3,1.0,1.0,0.0014344510855153203,0.6671448170285051
head,47,1.0,1.0,0.001429115072824061,0.667143038357608
head,48,1.0,1.0,0.0014100739499554038,0.6671366913166518
