layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
head,69,1.0,1.0,0.009062499739229679,0.6696874999130765
head,66,1.0,1.0,0.008316566236317158,0.6694388554121057
head,44,1.0,1.0,0.008060851134359837,0.6693536170447866
head,53,1.0,1.0,0.007874349132180214,0.6692914497107267
head,55,1.0,1.0,0.006682320963591337,0.6688941069878638
head,70,1.0,1.0,0.00619689654558897,0.6687322988485297
head,59,1.0,1.0,0.005985028576105833,0.6686616761920353
head,41,1.0,1.0,0.005424602422863245,0.6684748674742877
head,56,1.0,1.0,0.005415158811956644,0.6684717196039855
head,38,1.0,1.0,0.005407081451267004,0.6684690271504223
head,43,1.0,1.0,0.0047095841728150845,0.668236528057605
head,5,1.0,1.0,0.004663186147809029,0.6682210620492697
head,67,1.0,1.0,0.004629097878932953,0.6682096992929777
head,73,1.0,1.0,0.004572632722556591,0.6681908775741855
head,37,1.0,1.0,0.004538742825388908,0.6681795809417963
head,25,1.0,1.0,0.004490250255912542,0.6681634167519709
head,65,1.0,1.0,0.004348657093942165,0.668116219031314
head,42,1.0,1.0,0.0038475191686302423,0.66794917305621
head,1,1.0,1.0,0.0037901615723967552,0.6679300538574656
head,46,1.0,1.0,0.003697347128763795,0.6678991157095879
head,26,1.0,1.0,0.0036707944236695766,0.6678902648078898
head,31,1.0,1.0,0.0036212760023772717,0.6678737586674591
head,54,1.0,1.0,0.0028879824094474316,0.6676293274698158
head,23,1.0,1.0,0.0027686837129294872,0.6675895612376431
head,24,1.0,1.0,0.0026868029963225126,0.6675622676654408
head,51,1.0,1.0,0.002599311526864767,0.6675331038422883
head,39,1.0,1.0,0.002510866615921259,0.6675036222053071
head,10,1.0,1.0,0.0023738855961710215,0.6674579618653903
head,61,1.0,1.0,0.002093894174322486,0.6673646313914409
head,45,1.0,1.0,0.0020886161364614964,0.6673628720454872
head,11,1.0,1.0,0.0019115095492452383,0.6673038365164151
head,52,1.0,1.0,0.0018948493525385857,0.6672982831175128
head,71,1.0,1.0,0.001888861763291061,0.6672962872544304
head,6,1.0,1.0,0.0018302110256627202,0.6672767370085543
head,60,1.0,1.0,0.0017593152588233352,0.6672531050862744
head,47,1.0,1.0,0.0016926671378314495,0.6672308890459439
head,50,1.0,1.0,0.0016278389375656843,0.6672092796458552
head,48,1.0,1.0,0.0014901908580213785,0.6671633969526738
head,68,1.0,1.0,0.001371624181047082,0.6671238747270157
head,40,1.0,1.0,0.0013503704685717821,0.6671167901561906
head,36,1.0,1.0,0.0013416205765679479,0.6671138735255226
head,28,1.0,1.0,0.0013071721186861396,0.6671023907062287
head,7,1.0,1.0,0.0012254954781383276,0.6670751651593795
head,3,1.0,1.0,0.0012193714501336217,0.6670731238167112
head,27,1.0,1.0,0.001161822583526373,0.6670539408611754
head,62,1.0,1.0,0.0011447803117334843,0.6670482601039112
head,29,1.0,1.0,0.0011246183421462774,0.6670415394473821
