layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
head,69,1.0,1.0,0.009222163818776608,0.6697407212729255
head,66,1.0,1.0,0.008449212647974491,0.6694830708826581
head,44,1.0,1.0,0.008223720826208591,0.6694079069420695
head,53,1.0,1.0,0.007997569628059864,0.6693325232093533
head,55,1.0,1.0,0.006762601900845766,0.6689208673002819
head,70,1.0,1.0,0.0062292031943798065,0.66874306773146
head,59,1.0,1.0,0.006215981207787991,0.668738660402596
head,41,1.0,1.0,0.005580535624176264,0.6685268452080587
head,56,1.0,1.0,0.005522552877664566,0.6685075176258882
head,38,1.0,1.0,0.00551502825692296,0.6685050094189743
head,5,1.0,1.0,0.004811725579202175,0.6682705751930674
head,67,1.0,1.0,0.004756391979753971,0.668252130659918
head,73,1.0,1.0,0.004714435897767544,0.6682381452992558
head,43,1.0,1.0,0.004709595814347267,0.6682365319381157
head,25,1.0,1.0,0.004558166489005089,0.668186055496335
head,37,1.0,1.0,0.00455500977113843,0.6681850032570461
head,65,1.0,1.0,0.00444553978741169,0.6681485132624706
head,26,1.0,1.0,0.003905594814568758,0.6679685316048563
head,1,1.0,1.0,0.003858457552269101,0.6679528191840897
head,42,1.0,1.0,0.0038361228071153164,0.6679453742690384
head,46,1.0,1.0,0.003730482654646039,0.667910160884882
head,31,1.0,1.0,0.0037192555610090494,0.6679064185203364
head,23,1.0,1.0,0.002824734663590789,0.6676082448878636
head,54,1.0,1.0,0.0028099645860493183,0.6676033215286831
head,24,1.0,1.0,0.002695626812055707,0.6675652089373519
head,39,1.0,1.0,0.0025655690114945173,0.6675218563371649
head,51,1.0,1.0,0.0025552234146744013,0.6675184078048915
head,10,1.0,1.0,0.0023767391685396433,0.6674589130561799
head,61,1.0,1.0,0.002158916322514415,0.6673863054408381
head,45,1.0,1.0,0.0020733990240842104,0.6673577996746948
head,11,1.0,1.0,0.002023368841037154,0.6673411229470124
head,52,1.0,1.0,0.002013221848756075,0.6673377406162521
head,6,1.0,1.0,0.0019454623106867075,0.6673151541035622
head,71,1.0,1.0,0.0019274406367912889,0.6673091468789304
head,60,1.0,1.0,0.0016626394353806973,0.6672208798117936
head,47,1.0,1.0,0.0016395464772358537,0.6672131821590787
head,50,1.0,1.0,0.0015253740129992366,0.6671751246709997
head,48,1.0,1.0,0.0014672977849841118,0.667155765928328
head,28,1.0,1.0,0.0013985959812998772,0.6671328653270999
head,40,1.0,1.0,0.0013785089831799269,0.66712616966106
head,36,1.0,1.0,0.001321990741416812,0.667107330247139
head,68,1.0,1.0,0.0013013762654736638,0.6671004587551579
head,62,1.0,1.0,0.0012570456601679325,0.6670856818867227
head,3,1.0,1.0,0.0012257869821041822,0.667075262327368
head,7,1.0,1.0,0.0011931539047509432,0.667064384634917
head,29,1.0,1.0,0.001176871475763619,0.6670589571585879
head,22,1.0,1.0,0.0011273680720478296,0.6670424560240159
head,27,1.0,1.0,0.0011003101244568825,0.6670334367081523
head,58,1.0,1.0,0.0010402818443253636,0.6670134272814418
head,4,1.0,1.0,0.0010124348336830735,0.6670041449445611
head,35,1.0,1.0,0.0009532781550660729,0.6669844260516887
head,9,1.0,1.0,0.0008072658674791455,0.6669357552891597
head,33,1.0,1.0,0.0006942555774003267,0.6668980851924667
head,72,1.0,1.0,0.0006203766097314656,0.6668734588699105
head,64,1.0,1.0,0.00047337292926386,0.666824457643088
head,2,1.0,1.0,0.00036129087675362825,0.6667870969589179
head,0,1.0,1.0,0.0003440273576416075,0.6667813424525472
head,49,1.0,1.0,0.000253957521636039,0.6667513191738786
head,30,1.0,1.0,0.0002340128121431917,0.6667446709373811
head,63,1.0,1.0,0.0001693282974883914,0.6667231094324961
head,34,1.0,1.0,0.0001203906285809353,0.6667067968761936
head,57,1.0,1.0,9.342973498860374e-05,0.6666978099116628
